address;lat;long
CR 59 70 349 URB CIUDADELA DEL VALLE ITAGUI , Colombia;6,18933;-75,60325
CR 58 77 50 URBANIZACION LAURELES DEL SUR ITAGUI , Colombia;6,19036;-75,59988
CR 59 70 349 CIUDADELA DEL VALLE ITAGUI , Colombia;6,18933;-75,60325
CR 59 70 349 URB CIUDADELA DEL VALLE ITAGUI , Colombia;6,18933;-75,60325
CR 59 70 125 URBANIZACION LAURELES DEL VALLE PH ITAGUI , Colombia;6,19124;-75,60429
CR 28 29 85 RESERVA DE SAN DIEGO TO 1 SUBETAPA 9 1 MEDELLIN , Colombia;6,22777;-75,5593
CR 25 10 40 URBANIZACION CAMINOS DE MONTICELLO MEDELLIN , Colombia;6,20823;-75,55442
DG 54 AV 17 100 URBANIZACION POBLADO NIQUIA PH BELLO , Colombia;6,3456;-75,52853
CL 75 D A 2 B SUR 320 CONJUNTO RESIDENCIAL LOS CABOS P.H MEDELLIN , Colombia;6,20568;-75,59879
CL 84 58 320 URBANIZACION VILLA NOVA PH ITAGUI , Colombia;6,19535;75,60059
CR 58 77 50 URBANIZACION LAURELES DEL SUR ITAGUI , Colombia;6,19036;-75,59988
CR 86 43 12 EDIFICIO ISABELA 1 MEDELLIN , Colombia;6,2502;-75,6053
DG 41 B 65 AA 86 URBANIZACION EL CARMELO II PH MEDELLIN , Colombia;6,25889;-75,55414
TV 2 30 15 CONJUNTO MILTIFAMILIAR GIBRALTAR PH MEDELLIN , Colombia;6,20044;-75,56263
CR 6 A 47 A 40 URBANIZACION BOSQUE VERDE APARTAMENTOS MEDELLIN , Colombia;6,22956;-75,53551
CR 68 70 SUR 50 URBANIZACION PRADO VERDE PH MEDELLIN , Colombia;6,16793;-75,64898
CL 75 SUR 52 G 40 CONJUNTO RESIDENCIAL ENTRE HOJAS PH ITAGUI , Colombia;6,16535;-75,60545
CL 83 58 19 URBANIZACION VILLA DEL CAMPO ITAGUI , Colombia;6,193;-75,59993
CL 75 SUR 52 G 40 CONJUNTO RESIDENCIAL ENTRE HOJAS PH ITAGUI , Colombia;6,16535;-75,60545
CR 60 D 39 SUR 21 URBANIZACION PRADOS DEL SOL MEDELLIN , Colombia;6,1928;-75,64257
CL 40 B SUR 60 D 15 URBANIZACION PRADOS DEL SOL MEDELLIN , Colombia;6,18353;-75,64114
CR 6 A 47 A 40 URBANIZACION BOSQUE VERDE PH MEDELLIN , Colombia;6,22956;-75,53551
CL 34 64 110 URBANIZACION COLINA DE ASIS ITAGUI , Colombia;6,17078;-75,63386
CR 59 70 349 CIUDADELA DEL VALLE PH ITAGUI , Colombia;6,18933;-75,60325
CL 34 64 110 URBANIZACION COLINA DE ASIS ITAGUI , Colombia;6,17078;-75,63386
CR 59 70 125 URBANIZACION LAURELES DEL VALLE PH ITAGUI , Colombia;6,19124;-75,60429
CR 59 70 125 URBANIZACION LAURELES DEL VALLE PH ITAGUI , Colombia;6,19124;-75,60429
CR 6 A 47 A 40 URBANIZACION BOSQUE VERDE PH MEDELLIN , Colombia;6,22956;-75,53551
CL 2 B 81 A 513 CONJUNTO CAMINO DEL  PARQUE PH MEDELLIN , Colombia;6,21309;-75,60761
CL 54 81 B 26 URBANIZACION PRADO VERDE PH MEDELLIN , Colombia;6,26918;-75,59804
CL 54 81 B 26 CA 169 URBANIZACION PRADO VERDE PH MEDELLIN , Colombia;6,26918;-75,59804
CL 29 A 50 85 CONJUNTO RESIDENCIAL BELLO , Colombia;6,31809;-75,55858
CL 29 A 50 85 CONJUNTO RESIDENCIAL BELLO , Colombia;6,31809;-75,55858
CL 29 A 50 85 CONJUNTO RESIDENCIAL BELLO , Colombia;6,31809;-75,55858
CL 27 B 61 75 CONJUNTO INMOBILIARIO BOSQUE ALTO BELLO , Colombia;6,31714;-75,68094
CR 43 36 D 25 TIERRA LINDA CAMPESTRE BELLO , Colombia;6,3229;-75,54757
CR 43 36 D 25 TIERRA LINDA CAMPESTRE BELLO , Colombia;6,3229;-75,54757
CL 27 B 61 75 CONJUNTO INMOBILIARIO BOSQUE ALTO BELLO , Colombia;6,31714;-75,68094
CR 6 A 47 A 40 URBANIZACION BOSQUE VERDE PH MEDELLIN , Colombia;6,22956;-75,53551
CR 53 84 A 56 URBANIZACION VIVIENDAS DEL SUR NUCLEOS 3, 4, 5, 10, 11 ITAGUI , COLOMBIA;6,19279;-75,59486
CR 78 40 25 OPORTO CAMPESTRE PH COPACABANA , Colombia;6,33503;-75,52827
TV 51 B 54 B 85 URBANIZACION AGUAMARINA PH MEDELLIN , Colombia;6,25663;-75,57951
CL 54 A SUR 54 E 3 URBANIZACION SIERRA CAMPESTRE ITAGUI , Colombia;6,17697;-75,63616
CL 84 58 320 URBANIZACION VILLA NOVA PH ITAGUI , Colombia;6,19535;-75,60059
CL 84 58 320 URBANIZACION VILLA NOVA ITAGUI , Colombia;6,19535;-75,60059
CL 77 SUR 50 A 184 VIÑA DEL MAR PH ITAGUI , Colombia;6,15789;-75,6261
CL 63 B SUR 32 552 CIUDADELA MONTEFLOR ACACIA SABANETA , Colombia;6,14754;-75,60622
CR 59 27 B 540 ENSENADA PH BELLO , Colombia;6,3164;-75,57026
CR 59 27 B 540 ENSENADA PH BELLO , Colombia;6,3164;-75,57026
CR 43 36 D 25 UNIDAD TIERRA LINDA PH BELLO , Colombia;6,32352;-75,54873
DG 58 AV 19 A 26 URBANIZACION PLAZUELA DEL NORTE PH BELLO , Colombia;6,34841;-75,53101
CR 93 64 D 5 URBANIZACION PORTALES DE LA CAMPIÑA MEDELLIN , Colombia;6,28113;-75,60406
CR 93 64 D 05 URBANIZACION PORTALES DE LA CAMPIÑA MEDELLIN , Colombia;6,28113;-75,60406
CL 27 B 61 75 CONJUNTO INMOBILIARIO BOSQUE ALTO BELLO , Colombia;6,31714;-75,68094
CL 63 B SUR 32 552 CIUDADELA MONTEFLOR ACACIA SABANETA , Colombia;6,14754;-75,60622
CL 63 B SUR 32 552 CIUDADELA MONTEFLOR ACACIA SABANETA , Colombia;6,14754;-75,60622
CL 27 B 61 75 CONJUNTO INMOBILIARIO BOSQUE ALTO BELLO , Colombia;6,31714;-75,68094
CR 43 36 D 25 TIERRA LINDA CAMPESTRE BELLO , Colombia;6,3229;-75,54757
CR 59 27 B 540 ENSENADA PH BELLO , Colombia;6,3164;-75,57026
CL 27 B 61 75 CONJUNTO INMOBILIARIO BOSQUE ALTO BELLO , Colombia;6,31714;-75,68094
CL 47 SUR 64 D 92 CIUDADELA VILLA DEL BOSQUE PH SAN ANTONIO DE PRADO , Colombia;6,17955;-75,64519
CL 34 64 110 URBANIZACION LA COLINA DE ASIS ITAGUI , Colombia;6,17078;-75,63386
CL 63 B SUR 32 552 CIUDADELA MONTEFLOR ACACIA SABANETA , Colombia;6,14754;-75,60622
CL 47 SUR 64 D 92 CIUDADELA VILLA DEL BOSQUE PH SAN ANTONIO DE PRADO , Colombia;6,17955;-75,64519
CR 93 64 D 05 URBANIZACION PORTALES DE LA CAMPIÑA MEDELLIN , Colombia;6,28113;-75,60406
CL 34 64 110 URBANIZACION LA COLINA DE ASIS ITAGUI , Colombia;6,17078;-75,63386
CR 38 26 433 CONJUNTO RESIDENCIAL LOS FUERTES PH MEDELLIN , Colombia;6,22879;-75,56705
CL 67 65 D 22 URBANIZACION VILLAS DE COMFENALCO BELLO , Colombia;6,34749;-75,56978
DG 54 AV 17 100 URBANIZACION POBLADO NIQUIA PH BELLO , Colombia;6,3456;-75,52853
CL 67 65 D 22 URBANIZACION VILLAS DE COMFENALCO BELLO , Colombia;6,34749;-75,56978
CL 70 58 133 URBANIZACION VILLA VERDE PH ITAGUI , Colombia;6,18783;-75,60546
CR 31 19 445 TIERRA GRATA BOSQUE SANTO MEDELLIN , Colombia;6,22431;-75,56179
CR 35 01 A SUR 04 OBRA DIECINUEVE MEDELLIN , Colombia;6,20077;-75,56715
CR 58B 14 SUR 05 VILLA DEL  PARQUE APARTAMENTOS PH ITAGUI , Colombia;6,19592;-75,59824
CL 47 SUR 64 D 92 CONJUNTO RESIDENCIAL CIUDADELA VILLA DEL BOSQUE TORRE SAN ANTONIO DE PRADO , Colombia;6,17976;-75,64521
TV 38 AA 59 A 231 PUERTO ALEGRE PH BELLO , Colombia;6,32417;-75,56916
CL 80 58 161 URBANIZACION GUAYACANES DEL SUR ITAGUI , Colombia;6,19266;-75,60105
CL 83 58 19 URBANIZACION VILLA DEL CAMPO ITAGUI , Colombia;6,193;-75,59993
CR 38 26 501 CONJUNTO MULTIFAMILIAR LA MESETA MEDELLIN , Colombia;6,23044;-75,56666
CL 83 58 19 URBANIZACION VILLA DEL CAMPO ITAGUI , Colombia;6,193;-75,59993
CL 77 SUR 50 A 184 VIÑA DEL MAR PH ITAGUI , Colombia;6,15789;-75,6261
DG 58 AV 19 A 26 URBANIZACION PLAZUELA DEL NORTE PH BELLO , Colombia;6,34841;-75,53101
CL 70 58 133 VILLA VERDE ITAGUI , Colombia;6,18721;-75,60532
CL 80 58 161 URBANIZACION GUAYACANES DEL SUR ITAGUI , Colombia;6,19266;-75,60105
CL 47 SUR 64 D 92 CIUDADELA VILLA DEL BOSQUE PH SAN ANTONIO DE PRADO , Colombia;6,17955;-75,64519
TV 36 72 16 EDIFICIO ALCAZAR DE SAN FRANCISCO PH MEDELLIN , Colombia;6,24042;-75,59475
CL 68 A 66 17 URBANIZACION VILLAS DE COMFENALCO BELLO , Colombia;6,34749;-75,56978
